file,path,line_no,line,reasons,is_good_breakpoint,has_for,has_while,has_if,has_else,has_indexing,has_comparison,reason_count,line_length,num_ops,num_parens,num_tokens
number_of_islands.cpp,data/raw/cpp/number_of_islands.cpp,2,"int directions[4][2] = {{1, 0}, {-1, 0}, {0, 1}, {0, -1}};",indexing,0,0,0,0,0,1,0,1,58,3,14,11
number_of_islands.cpp,data/raw/cpp/number_of_islands.cpp,4,int numIslands(vector<vector<char>>& grid) {,comparison,0,0,0,0,0,0,1,1,44,5,3,4
number_of_islands.cpp,data/raw/cpp/number_of_islands.cpp,5,"int ROWS = grid.size(), COLS = grid[0].size();",indexing,0,0,0,0,0,1,0,1,46,2,6,7
number_of_islands.cpp,data/raw/cpp/number_of_islands.cpp,8,for (int r = 0; r < ROWS; r++) {,for_loop,1,1,0,0,0,0,1,1,32,4,3,10
number_of_islands.cpp,data/raw/cpp/number_of_islands.cpp,9,for (int c = 0; c < COLS; c++) {,for_loop,1,1,0,0,0,0,1,1,32,4,3,10
number_of_islands.cpp,data/raw/cpp/number_of_islands.cpp,10,if (grid[r][c] == '1') {,if;indexing;comparison,1,0,0,1,0,1,1,3,24,2,7,5
number_of_islands.cpp,data/raw/cpp/number_of_islands.cpp,20,"void dfs(vector<vector<char>>& grid, int r, int c) {",comparison,0,0,0,0,0,0,1,1,52,5,3,8
number_of_islands.cpp,data/raw/cpp/number_of_islands.cpp,21,if (r < 0 || c < 0 || r >= grid.size() ||,if;comparison,1,0,0,1,0,0,1,2,41,10,3,13
number_of_islands.cpp,data/raw/cpp/number_of_islands.cpp,22,c >= grid[0].size() || grid[r][c] == '0') {,indexing;comparison,1,0,0,0,0,1,1,2,43,6,10,8
number_of_islands.cpp,data/raw/cpp/number_of_islands.cpp,26,grid[r][c] = '0';,indexing,0,0,0,0,0,1,0,1,17,1,4,3
number_of_islands.cpp,data/raw/cpp/number_of_islands.cpp,27,for (int i = 0; i < 4; i++) {,for_loop,1,1,0,0,0,0,1,1,29,4,3,10
number_of_islands.cpp,data/raw/cpp/number_of_islands.cpp,28,"dfs(grid, r + directions[i][0], c + directions[i][1]);",indexing,0,0,0,0,0,1,0,1,54,2,10,7
sliding_window_maximum.cpp,data/raw/cpp/sliding_window_maximum.cpp,4,vector<int> tree;,comparison,0,0,0,0,0,0,1,1,17,2,0,2
sliding_window_maximum.cpp,data/raw/cpp/sliding_window_maximum.cpp,6,"SegmentTree(int N, vector<int>& A) {",comparison,0,0,0,0,0,0,1,1,36,3,3,5
sliding_window_maximum.cpp,data/raw/cpp/sliding_window_maximum.cpp,7,this->n = N;,comparison,0,0,0,0,0,0,1,1,12,3,0,3
sliding_window_maximum.cpp,data/raw/cpp/sliding_window_maximum.cpp,8,while (__builtin_popcount(n) != 1) {,while_loop;comparison,1,0,1,0,0,0,1,2,36,2,5,5
sliding_window_maximum.cpp,data/raw/cpp/sliding_window_maximum.cpp,14,"void build(int N, vector<int>& A) {",comparison,0,0,0,0,0,0,1,1,35,3,3,6
sliding_window_maximum.cpp,data/raw/cpp/sliding_window_maximum.cpp,16,for (int i = 0; i < N; i++) {,for_loop,1,1,0,0,0,0,1,1,29,4,3,10
sliding_window_maximum.cpp,data/raw/cpp/sliding_window_maximum.cpp,17,tree[n + i] = A[i];,indexing,0,0,0,0,0,1,0,1,19,2,4,5
sliding_window_maximum.cpp,data/raw/cpp/sliding_window_maximum.cpp,19,for (int i = n - 1; i > 0; --i) {,for_loop;comparison,1,1,0,0,0,0,1,2,33,5,3,12
sliding_window_maximum.cpp,data/raw/cpp/sliding_window_maximum.cpp,20,"tree[i] = max(tree[i << 1], tree[i << 1 | 1]);",indexing,0,0,0,0,0,1,1,1,46,6,8,10
sliding_window_maximum.cpp,data/raw/cpp/sliding_window_maximum.cpp,26,"for (l += n, r += n + 1; l < r; l >>= 1, r >>= 1) {",for_loop;comparison,1,1,0,0,0,0,1,2,51,12,3,19
sliding_window_maximum.cpp,data/raw/cpp/sliding_window_maximum.cpp,27,"if (l & 1) res = max(res, tree[l++]);",if;indexing,1,0,0,1,0,1,0,2,37,4,6,8
sliding_window_maximum.cpp,data/raw/cpp/sliding_window_maximum.cpp,28,"if (r & 1) res = max(res, tree[--r]);",if;indexing,1,0,0,1,0,1,0,2,37,4,6,8
sliding_window_maximum.cpp,data/raw/cpp/sliding_window_maximum.cpp,36,"vector<int> maxSlidingWindow(vector<int>& nums, int k) {",comparison,0,0,0,0,0,0,1,1,56,5,3,6
sliding_window_maximum.cpp,data/raw/cpp/sliding_window_maximum.cpp,39,vector<int> output;,comparison,0,0,0,0,0,0,1,1,19,2,0,2
sliding_window_maximum.cpp,data/raw/cpp/sliding_window_maximum.cpp,40,for (int i = 0; i <= n - k; i++) {,for_loop;comparison,1,1,0,0,0,0,1,2,34,6,3,12
clone_graph.cpp,data/raw/cpp/clone_graph.cpp,6,vector<Node*> neighbors;,comparison,0,0,0,0,0,0,1,1,24,3,0,2
clone_graph.cpp,data/raw/cpp/clone_graph.cpp,9,neighbors = vector<Node*>();,comparison,0,0,0,0,0,0,1,1,28,4,2,3
clone_graph.cpp,data/raw/cpp/clone_graph.cpp,13,neighbors = vector<Node*>();,comparison,0,0,0,0,0,0,1,1,28,4,2,3
