file,path,line_no,line,reasons,is_good_breakpoint,has_for,has_while,has_if,has_else,has_indexing,has_comparison,reason_count,line_length,num_ops,num_parens,num_tokens
CoinChange.java,data/raw/java/CoinChange.java,2,"def coinChange(self, coins: List[int], amount: int) -> int:",indexing;comparison,1,0,0,0,0,1,1,2,59,2,4,8
CoinChange.java,data/raw/java/CoinChange.java,6,if amount == 0:,comparison,0,0,0,1,0,0,1,1,15,2,0,4
CoinChange.java,data/raw/java/CoinChange.java,9,return memo[amount],indexing,0,0,0,0,0,1,0,1,19,0,2,2
CoinChange.java,data/raw/java/CoinChange.java,13,if amount - coin >= 0:,comparison,0,0,0,1,0,0,1,1,22,3,0,6
CoinChange.java,data/raw/java/CoinChange.java,16,memo[amount] = res,indexing,0,0,0,0,0,1,0,1,18,1,2,3
CoinChange.java,data/raw/java/CoinChange.java,20,return -1 if minCoins >= 1e9 else minCoins,comparison,0,0,0,1,0,0,1,1,42,3,0,8
LongestPalindromicSubstring.java,data/raw/java/LongestPalindromicSubstring.java,2,"def longestPalindrome(self, s: str) -> str:",comparison,0,0,0,0,0,0,1,1,43,2,2,6
LongestPalindromicSubstring.java,data/raw/java/LongestPalindromicSubstring.java,10,if s[i] == s[j] and (j - i <= 2 or dp[i + 1][j - 1]):,indexing;comparison,1,0,0,1,0,1,1,2,53,7,10,16
LongestPalindromicSubstring.java,data/raw/java/LongestPalindromicSubstring.java,11,dp[i][j] = True,indexing,0,0,0,0,0,1,0,1,15,1,4,3
LongestPalindromicSubstring.java,data/raw/java/LongestPalindromicSubstring.java,12,if resLen < (j - i + 1):,comparison,0,0,0,1,0,0,1,1,24,3,2,8
LongestPalindromicSubstring.java,data/raw/java/LongestPalindromicSubstring.java,16,return s[resIdx : resIdx + resLen],indexing,0,0,0,0,0,1,0,1,34,1,2,6
ThreeSum.java,data/raw/java/ThreeSum.java,8,public List<List<Integer>> threeSum(int[] nums) {,comparison,0,0,0,0,0,1,1,1,49,4,5,5
ThreeSum.java,data/raw/java/ThreeSum.java,9,List<List<Integer>> result = new ArrayList<>();,comparison,0,0,0,0,0,0,1,1,47,7,2,5
ThreeSum.java,data/raw/java/ThreeSum.java,12,for (int i = 0; i < n - 2; i++) {,for_loop;comparison,1,1,0,0,0,0,1,2,33,5,3,12
ThreeSum.java,data/raw/java/ThreeSum.java,13,if (i > 0 && nums[i] == nums[i - 1]) {,if;indexing;comparison,1,0,0,1,0,1,1,3,38,6,7,11
ThreeSum.java,data/raw/java/ThreeSum.java,16,int target = -nums[i];,indexing,0,0,0,0,0,1,0,1,22,2,2,4
ThreeSum.java,data/raw/java/ThreeSum.java,18,while (left < right) {,while_loop;comparison,1,0,1,0,0,0,1,2,22,1,3,5
ThreeSum.java,data/raw/java/ThreeSum.java,19,int sum = nums[left] + nums[right];,indexing,0,0,0,0,0,1,0,1,35,2,4,6
ThreeSum.java,data/raw/java/ThreeSum.java,20,if (sum == target) {,if;comparison,1,0,0,1,0,0,1,2,20,2,3,5
ThreeSum.java,data/raw/java/ThreeSum.java,21,"result.add(Arrays.asList(nums[i], nums[left], nums[right]));",indexing,0,0,0,0,0,1,0,1,60,0,10,3
ThreeSum.java,data/raw/java/ThreeSum.java,24,while (left < right && nums[left] == nums[left - 1]) {,while_loop;indexing;comparison,1,0,1,0,0,1,1,3,54,6,7,11
ThreeSum.java,data/raw/java/ThreeSum.java,27,while (left < right && nums[right] == nums[right + 1]) {,while_loop;indexing;comparison,1,0,1,0,0,1,1,3,56,6,7,11
