file,path,line_no,line,reasons,is_good_breakpoint,has_for,has_while,has_if,has_else,has_indexing,has_comparison,reason_count,line_length,num_ops,num_parens,num_tokens
clone_graph.js,data/raw/javascript/clone_graph.js,9,// DFS with map from original node -> cloned node to handle cycles,comparison,0,0,0,0,0,0,1,1,66,4,0,13
clone_graph.js,data/raw/javascript/clone_graph.js,10,if (!node) return null;,if,1,0,0,1,0,0,0,1,23,1,2,4
clone_graph.js,data/raw/javascript/clone_graph.js,14,if (map.has(curr)) {,if,1,0,0,1,0,0,0,1,20,0,5,3
clone_graph.js,data/raw/javascript/clone_graph.js,19,for (const neighbor of curr.neighbors) {,for_loop,1,1,0,0,0,0,0,1,40,0,3,6
house_robber.js,data/raw/javascript/house_robber.js,5,for (const num of nums) {,for_loop,1,1,0,0,0,0,0,1,25,0,3,6
binary_tree_traversal.js,data/raw/javascript/binary_tree_traversal.js,12,if (!node) return;,if,1,0,0,1,0,0,0,1,18,1,2,3
binary_tree_traversal.js,data/raw/javascript/binary_tree_traversal.js,24,if (!node) return;,if,1,0,0,1,0,0,0,1,18,1,2,3
binary_tree_traversal.js,data/raw/javascript/binary_tree_traversal.js,36,if (!node) return;,if,1,0,0,1,0,0,0,1,18,1,2,3
number_of_islands.js,data/raw/javascript/number_of_islands.js,3,if (!grid || grid.length === 0) return 0;,if;comparison,1,0,0,1,0,0,1,2,41,6,2,8
number_of_islands.js,data/raw/javascript/number_of_islands.js,5,const n = grid[0].length;,indexing,0,0,0,0,0,1,0,1,25,1,2,4
number_of_islands.js,data/raw/javascript/number_of_islands.js,9,if (r < 0 || r >= m || c < 0 || c >= n || grid[r][c] !== '1') {,if;indexing;comparison,1,0,0,1,0,1,1,3,63,17,7,21
number_of_islands.js,data/raw/javascript/number_of_islands.js,12,grid[r][c] = '0';,indexing,0,0,0,0,0,1,0,1,17,1,4,3
