program,target_language,condition,cached,source_cyclomatic,source_loops,source_branches,source_functions,executable,output_match,translated_chars,extracted,translation_cyclomatic,translation_loops,translation_branches,translation_functions,cyclomatic_delta,loop_delta,branch_delta,function_delta
balanced_parens,javascript,anchored,True,9,2,6,2,True,True,761,True,6,2,6,2,3,0,0,0
balanced_parens,javascript,plain,True,9,2,6,2,True,True,761,True,6,2,6,2,3,0,0,0
balanced_parens,java,anchored,True,9,2,6,2,True,True,1223,True,4,2,6,2,5,0,0,0
balanced_parens,java,plain,True,9,2,6,2,True,True,1180,True,4,2,6,2,5,0,0,0
balanced_parens,cpp,anchored,True,9,2,6,2,True,True,987,True,6,2,6,2,3,0,0,0
balanced_parens,cpp,plain,True,9,2,6,2,True,True,1075,True,6,2,7,2,3,0,1,0
balanced_parens,go,anchored,True,9,2,6,2,True,True,678,True,6,2,6,2,3,0,0,0
balanced_parens,go,plain,True,9,2,6,2,True,True,680,True,6,2,6,2,3,0,0,0
binary_search,javascript,anchored,True,6,2,3,2,True,True,547,True,6,2,3,2,0,0,0,0
binary_search,javascript,plain,True,6,2,3,2,True,True,547,True,6,2,3,2,0,0,0,0
binary_search,java,anchored,True,6,2,3,2,True,True,708,True,6,2,3,2,0,0,0,0
binary_search,java,plain,True,6,2,3,2,True,True,709,True,6,2,3,2,0,0,0,0
binary_search,cpp,anchored,True,6,2,3,2,True,True,633,True,5,2,3,2,1,0,0,0
binary_search,cpp,plain,True,6,2,3,2,True,True,639,True,5,2,3,2,1,0,0,0
binary_search,go,anchored,True,6,2,3,2,True,True,448,True,5,2,3,2,1,0,0,0
binary_search,go,plain,True,6,2,3,2,True,True,446,True,5,2,3,2,1,0,0,0
bubble_sort,javascript,anchored,True,7,3,2,2,True,True,739,True,7,3,2,2,0,0,0,0
bubble_sort,javascript,plain,True,7,3,2,2,True,True,739,True,7,3,2,2,0,0,0,0
bubble_sort,java,anchored,True,7,3,2,2,True,True,1059,True,7,3,2,2,0,0,0,0
bubble_sort,java,plain,True,7,3,2,2,True,True,1059,True,7,3,2,2,0,0,0,0
bubble_sort,cpp,anchored,True,7,3,2,2,True,True,1100,True,8,3,4,2,1,0,2,0
bubble_sort,cpp,plain,True,7,3,2,2,True,True,1139,True,9,3,3,3,2,0,1,1
