program,target_language,condition,cached,source_cyclomatic,source_loops,source_branches,source_functions,executable,output_match,translated_chars,extracted,translation_cyclomatic,translation_loops,translation_branches,translation_functions,cyclomatic_delta,loop_delta,branch_delta,function_delta
balanced_parens,javascript,anchored,True,9,2,6,2,True,True,834,True,6,2,6,2,3,0,0,0
balanced_parens,javascript,plain,True,9,2,6,2,True,True,757,True,6,2,6,2,3,0,0,0
balanced_parens,java,anchored,True,9,2,6,2,True,True,1227,True,4,2,6,2,5,0,0,0
balanced_parens,java,plain,True,9,2,6,2,True,True,1285,True,4,2,6,2,5,0,0,0
balanced_parens,cpp,anchored,True,9,2,6,2,True,True,1031,True,7,2,6,3,2,0,0,1
balanced_parens,cpp,plain,True,9,2,6,2,False,False,1024,True,7,2,6,3,2,0,0,1
balanced_parens,go,anchored,True,9,2,6,2,True,True,667,True,6,2,6,2,3,0,0,0
balanced_parens,go,plain,True,9,2,6,2,True,True,693,True,6,2,6,2,3,0,0,0
binary_search,javascript,anchored,True,6,2,3,2,True,True,618,True,6,2,3,2,0,0,0,0
binary_search,javascript,plain,True,6,2,3,2,True,True,620,True,6,2,3,2,0,0,0,0
binary_search,java,anchored,True,6,2,3,2,True,True,712,True,6,2,3,2,0,0,0,0
binary_search,java,plain,True,6,2,3,2,True,True,706,True,6,2,3,2,0,0,0,0
binary_search,cpp,anchored,True,6,2,3,2,True,True,672,True,6,2,3,3,0,0,0,1
binary_search,cpp,plain,True,6,2,3,2,True,True,718,True,7,2,3,3,1,0,0,1
binary_search,go,anchored,True,6,2,3,2,True,True,448,True,5,2,3,2,1,0,0,0
binary_search,go,plain,True,6,2,3,2,True,True,448,True,5,2,3,2,1,0,0,0
bubble_sort,javascript,anchored,True,7,3,2,2,True,True,725,True,7,3,2,2,0,0,0,0
bubble_sort,javascript,plain,True,7,3,2,2,True,True,725,True,7,3,2,2,0,0,0,0
bubble_sort,java,anchored,True,7,3,2,2,True,True,1082,True,7,3,2,2,0,0,0,0
bubble_sort,java,plain,True,7,3,2,2,True,True,1119,True,7,3,2,2,0,0,0,0
bubble_sort,cpp,anchored,True,7,3,2,2,True,True,1141,True,9,3,4,3,2,0,2,1
bubble_sort,cpp,plain,True,7,3,2,2,True,True,1050,True,9,3,3,3,2,0,1,1
bubble_sort,go,anchored,True,7,3,2,2,True,True,617,True,7,3,2,2,0,0,0,0
bubble_sort,go,plain,True,7,3,2,2,True,True,617,True,7,3,2,2,0,0,0,0
collatz_steps,javascript,anchored,True,5,2,2,2,True,True,357,True,5,2,2,2,0,0,0,0
collatz_steps,javascript,plain,True,5,2,2,2,True,True,357,True,5,2,2,2,0,0,0,0
collatz_steps,java,anchored,True,5,2,2,2,True,True,476,True,4,2,2,2,1,0,0,0
collatz_steps,java,plain,True,5,2,2,2,True,True,497,True,5,2,2,2,0,0,0,0
collatz_steps,cpp,anchored,True,5,2,2,2,True,True,535,True,6,2,2,3,1,0,0,1
collatz_steps,cpp,plain,True,5,2,2,2,True,True,486,True,6,2,2,3,1,0,0,1
collatz_steps,go,anchored,True,5,2,2,2,True,True,283,True,4,2,2,2,1,0,0,0
collatz_steps,go,plain,True,5,2,2,2,True,True,281,True,4,2,2,2,1,0,0,0
