program,source_lines,executed_lines,candidates,recommended,recommended_reached,recommended_reach_rate,random_candidate_baseline,all_line_baseline,mean_exec_count_recommended,mean_exec_count_candidates,max_exec_count_recommended
balanced_parens,21,19,9,7,7,1.0,0.8888888888888888,0.9047619047619048,11.714285714285714,9.555555555555555,24
binary_search,17,16,5,4,4,1.0,0.8,0.9411764705882353,8.25,6.6,11
bubble_sort,22,22,8,5,5,1.0,1.0,1.0,9.4,8.125,18
collatz_steps,13,12,4,3,3,1.0,0.75,0.9230769230769231,93.0,69.75,139
fibonacci_memo,13,13,5,3,3,1.0,1.0,1.0,31.0,25.8,41
fizzbuzz,13,12,5,4,4,1.0,0.8,0.9230769230769231,18.5,14.8,21
gcd_lcm,15,14,3,3,3,1.0,1.0,0.9333333333333333,10.333333333333334,10.333333333333334,24
matrix_multiply,24,24,7,5,5,1.0,1.0,1.0,6.0,5.571428571428571,12
prime_sieve,27,27,11,8,8,1.0,1.0,1.0,29.25,25.545454545454547,52
run_length_encode,21,19,7,4,4,1.0,0.8571428571428571,0.9047619047619048,10.0,6.857142857142857,18
two_sum,15,14,9,3,3,1.0,0.8888888888888888,0.9333333333333333,7.0,4.555555555555555,9
word_frequency,26,22,15,7,7,1.0,0.7333333333333333,0.8461538461538461,12.0,6.333333333333333,33
