language,measurement,repeats,mean_ms,median_ms,stdev_ms,min_ms,p95_ms,p99_ms,max_ms
python,cold_provisioning,50,300.40066400004434,302.0588500003214,14.31940611587983,273.3676000007108,319.676500001151,362.1674999994866,362.1674999994866
python,end_to_end_execution,50,313.4427740002866,313.8434500006042,13.326282145178924,289.23779999968247,340.38460000010673,344.645600000149,344.645600000149
cpp,cold_provisioning,50,299.6625299999141,299.8760999998922,10.737359542530607,277.6126999997359,318.4220000002824,322.21690000005765,322.21690000005765
cpp,end_to_end_execution,50,511.52723200000764,508.304599999974,19.943131091154715,476.3117999991664,552.1766999991087,574.6558000009827,574.6558000009827
javascript,cold_provisioning,50,300.8163439999407,301.05974999878526,10.807921011344284,274.9564999994618,323.6765000001469,327.74939999944763,327.74939999944763
javascript,end_to_end_execution,50,318.9743099999396,317.0591999996759,12.424206175871793,299.48420000073384,333.58059999955003,373.5703000002104,373.5703000002104
go,cold_provisioning,50,302.5284579998697,299.58480000004784,13.89196769634415,280.35689999887836,327.83930000005057,341.8567999997322,341.8567999997322
go,end_to_end_execution,50,5675.447110000096,5680.198150000251,100.89252097737649,5468.774099999791,5847.323100000722,5925.745800001096,5925.745800001096
java,cold_provisioning,50,296.88905999999406,297.68830000011803,9.850303681438357,278.9676000011241,312.6678000007814,313.90579999970214,313.90579999970214
java,end_to_end_execution,50,875.5660859997806,872.3026999996364,24.62889895125595,791.2696999992477,914.0258999996149,929.2423000006238,929.2423000006238
