method,language,n,correct,abstained,misidentified,accuracy,abstention_rate,misidentification_rate
hybrid,cpp,3,3,0,0,1.0,0.0,0.0
hybrid,go,3,3,0,0,1.0,0.0,0.0
hybrid,java,3,3,0,0,1.0,0.0,0.0
hybrid,javascript,3,3,0,0,1.0,0.0,0.0
hybrid,plain,12,12,0,0,1.0,0.0,0.0
hybrid,python,3,3,0,0,1.0,0.0,0.0
pygments_only,cpp,3,2,1,0,0.6666666666666666,0.3333333333333333,0.0
pygments_only,go,3,0,1,2,0.0,0.3333333333333333,0.6666666666666666
pygments_only,java,3,0,2,1,0.0,0.6666666666666666,0.3333333333333333
pygments_only,javascript,3,0,2,1,0.0,0.6666666666666666,0.3333333333333333
pygments_only,plain,12,11,0,1,0.9166666666666666,0.0,0.08333333333333333
pygments_only,python,3,1,2,0,0.3333333333333333,0.6666666666666666,0.0
regex_only,cpp,3,3,0,0,1.0,0.0,0.0
regex_only,go,3,3,0,0,1.0,0.0,0.0
regex_only,java,3,3,0,0,1.0,0.0,0.0
regex_only,javascript,3,3,0,0,1.0,0.0,0.0
regex_only,plain,12,5,0,7,0.4166666666666667,0.0,0.5833333333333334
regex_only,python,3,3,0,0,1.0,0.0,0.0
