scope,feature_set,model,n,accuracy,precision,recall,f1
cpp,n/a,Labelling rule (reference),122,1.0,1.0,1.0,1.0
cpp,LEAKY (11 shipped),Random Forest,122,0.9836065573770492,0.9830508474576272,0.9830508474576272,0.9830508474576272
cpp,LEAKY (11 shipped),Naive Bayes,122,0.9508196721311475,0.9818181818181818,0.9152542372881356,0.9473684210526315
cpp,LEAKY (11 shipped),SVM (RBF),122,0.9754098360655737,0.9827586206896551,0.9661016949152542,0.9743589743589743
cpp,LEAK_FREE (4 lexical),Random Forest,122,0.8114754098360656,0.8333333333333334,0.7627118644067796,0.7964601769911505
cpp,LEAK_FREE (4 lexical),Naive Bayes,122,0.7377049180327869,0.7755102040816326,0.6440677966101694,0.7037037037037037
cpp,LEAK_FREE (4 lexical),SVM (RBF),122,0.8114754098360656,0.78125,0.847457627118644,0.8130081300813008
go,n/a,Labelling rule (reference),108,1.0,1.0,1.0,1.0
go,LEAKY (11 shipped),Random Forest,108,0.9907407407407407,0.9850746268656716,1.0,0.9924812030075187
go,LEAKY (11 shipped),Naive Bayes,108,0.9722222222222222,0.9565217391304348,1.0,0.9777777777777777
go,LEAKY (11 shipped),SVM (RBF),108,0.9722222222222222,0.9565217391304348,1.0,0.9777777777777777
go,LEAK_FREE (4 lexical),Random Forest,108,0.9351851851851852,0.9041095890410958,1.0,0.9496402877697842
go,LEAK_FREE (4 lexical),Naive Bayes,108,0.7037037037037037,0.8695652173913043,0.6060606060606061,0.7142857142857143
go,LEAK_FREE (4 lexical),SVM (RBF),108,0.9166666666666666,0.9014084507042254,0.9696969696969697,0.9343065693430657
java,n/a,Labelling rule (reference),97,1.0,1.0,1.0,1.0
java,LEAKY (11 shipped),Random Forest,97,0.9896907216494846,1.0,0.9772727272727273,0.9885057471264368
java,LEAKY (11 shipped),Naive Bayes,97,0.9484536082474226,0.9534883720930233,0.9318181818181818,0.9425287356321839
java,LEAKY (11 shipped),SVM (RBF),97,0.9587628865979382,0.9347826086956522,0.9772727272727273,0.9555555555555556
java,LEAK_FREE (4 lexical),Random Forest,97,0.865979381443299,0.8604651162790697,0.8409090909090909,0.8505747126436781
java,LEAK_FREE (4 lexical),Naive Bayes,97,0.711340206185567,0.7352941176470589,0.5681818181818182,0.6410256410256411
java,LEAK_FREE (4 lexical),SVM (RBF),97,0.8247422680412371,0.7872340425531915,0.8409090909090909,0.8131868131868132
javascript,n/a,Labelling rule (reference),74,1.0,1.0,1.0,1.0
javascript,LEAKY (11 shipped),Random Forest,74,0.972972972972973,0.9622641509433962,1.0,0.9807692307692307
javascript,LEAKY (11 shipped),Naive Bayes,74,0.8918918918918919,0.9777777777777777,0.8627450980392157,0.9166666666666666
javascript,LEAKY (11 shipped),SVM (RBF),74,0.972972972972973,0.9803921568627451,0.9803921568627451,0.9803921568627451
javascript,LEAK_FREE (4 lexical),Random Forest,74,0.7432432432432432,0.8076923076923077,0.8235294117647058,0.8155339805825242
javascript,LEAK_FREE (4 lexical),Naive Bayes,74,0.6756756756756757,0.7755102040816326,0.7450980392156863,0.76
javascript,LEAK_FREE (4 lexical),SVM (RBF),74,0.6891891891891891,0.7058823529411765,0.9411764705882353,0.8067226890756303
python,n/a,Labelling rule (reference),113,1.0,1.0,1.0,1.0
python,LEAKY (11 shipped),Random Forest,113,0.9646017699115044,0.9493670886075949,1.0,0.974025974025974
python,LEAKY (11 shipped),Naive Bayes,113,0.8849557522123894,1.0,0.8266666666666667,0.9051094890510949
python,LEAKY (11 shipped),SVM (RBF),113,0.9646017699115044,0.9493670886075949,1.0,0.974025974025974
python,LEAK_FREE (4 lexical),Random Forest,113,0.8849557522123894,0.8780487804878049,0.96,0.9171974522292994
python,LEAK_FREE (4 lexical),Naive Bayes,113,0.6017699115044248,0.6630434782608695,0.8133333333333334,0.7305389221556886
python,LEAK_FREE (4 lexical),SVM (RBF),113,0.7168141592920354,0.7866666666666666,0.7866666666666666,0.7866666666666666
POOLED,n/a,Labelling rule (reference),514,1.0,1.0,1.0,1.0
POOLED,LEAKY (11 shipped),Random Forest,514,0.9922178988326849,0.98989898989899,0.9966101694915255,0.9932432432432432
POOLED,LEAKY (11 shipped),Naive Bayes,514,0.9727626459143969,0.9606557377049181,0.9932203389830508,0.9766666666666667
POOLED,LEAKY (11 shipped),SVM (RBF),514,0.9941634241245136,0.9899328859060402,1.0,0.9949409780775716
POOLED,LEAK_FREE (4 lexical),Random Forest,514,0.8424124513618677,0.8614864864864865,0.864406779661017,0.8629441624365483
POOLED,LEAK_FREE (4 lexical),Naive Bayes,514,0.5603112840466926,0.6619718309859155,0.47796610169491527,0.5551181102362205
POOLED,LEAK_FREE (4 lexical),SVM (RBF),514,0.8035019455252919,0.8108974358974359,0.8576271186440678,0.8336079077429983
